"1. Mama
2. What Is Love
3. History
4. Angel
5. Two Moons
6. Machine"
"1. Wolf
2. Baby Don’t Cry
3. Black Pearl
4. Don’t Go
5. Let Out the Beast
6. 3.6.5.
7. Heart Attack
8. Peter Pan
9. Baby
10. My Lady
11. Wolf (EXO-K)
12. Wolf (Mandarin Ver.)"
"1. Miracles in December
2. Christmas Day
3. The Star
4. My Turn to Cry
5. The First Snow
6. Miracles in December (Orchestra Ver.)"
"1. Overdose
2. Moonlight
3. Thunder
4. Run
5. Love, Love, Love
6. Overdose (EXO Ver.)"
"1. The Winter’s Tale
2. The Lost Planet
3. Haka
4. MAMA (Rearranged)
5. Let Out The Beast
6. I’m Lay
7. Delight
8. Angel
9. Black Pearl (Rearranged)
10. Up Rising
11. XOXO
12. Beat Maker
13. Love, Love, Love
14. Thunder
15. Tell Me What Is Love
16. My Lady
17. My Turn To Cry
18. Baby Don’t Cry
19. Machine
20. Breakin’ Machine
21. 3.6.5.
22. History
23. Beautiful
24. Peter Pan
25. Metal
26. Deep Breath
27. Overdose
28. Wolf – The Legend Begins
29. Wolf
30. Growl
31. Lucky
32. Black Pearl (Studio Ver.)
33. Love, Love, Love (Acoustic Ver.)
34. Wolf (Stage Ver.)
35. Growl (Stage Ver.)"
"1. Call Me Baby
2. Transformer
3. What If…
4. My Answer
5. Exodus
6. El Dorado
7. Playboy
8. Hurt
9. Lady Luck
10. Beautiful"
"1. Unfair
2. Sing for You
3. Girl X Friend
4. On the Snow
5. Lightsaber"
"1. Lucky One
2. Monster
3. Artificial Love
4. Cloud 9
5. Heaven
6. White Noise
7. One and Only
8. They Never Know
9. Stronger
10. Lucky One (Instrumental)
11. Monster (Instrumental)"
"1. For Life
2. Falling for You
3. What I Want for Christmas
4. Twenty Four
5. Winter Heat"
"1. The Eve
2. Ko Ko Bop
3. What U Do?
4. Forever
5. Diamond
6. Touch It
7. Chill
8. Walk on Memories
9. Going Crazy"
"1. Universe
2. Been Through
3. Stay
4. Fall
5. Good Night
6. Lights Out
7. Universe (CD Ver.)"
"1. Electric Kiss
2. Coming Over
3. Love Me Right
4. Lightsaber
5. Tactix
6. Into My World
7. Lovin’ You Mo
8. Drop That
9. Run This
10. Cosmic Railway"
"1. Tempo
2. Sign
3. Ooh La La La
4. Gravity
5. With You
6. 24/7
7. Bad Dream
8. Damage
9. Smile On My Face
10. Oasis
11. Tempo (Chinese Ver.)"
"1. Love Shot
2. Tempo
3. Trauma
4. Wait
5. Sign
6. Ooh La La
7. Gravity
8. With You
9. 24/7
10. Bad Dream
11. Damage
12. Smile On My Face
13. Oasis
14. Love Shot (Chinese Ver.)
15. Tempo (Chinese Ver.)"
"1. Obession
2. Trouble
3. Jekyll
4. Groove
5. Ya Ya Ya
6. Baby You Are
7. Non Stop
8. Day After Day
9. Butterfly Effect
10. Obsession (Chinese Ver.)"
1. Let Me In
1. Hear Me Out
"1. Cream Soda
2. Regret It
3. Hear Me Out
4. Private Party
5. Cinderella
6. No Makeup
7. Love Fool
8. Another Day
9. Let Me In"
